Nott'ham Forest | 1.7914161310387728 - 1.86298147603646 | Tottenham
Nott'ham Forest | 1.3199908333969905 - 1.2984416348132901 | Brentford
Nott'ham Forest | 1.1314207143402777 - 1.3548956189356067 | Fulham
Nott'ham Forest | 1.2257057738686343 - 1.0726256983240223 | Crystal Palace
Nott'ham Forest | 1.3199908333969905 - 1.0161717142017053 | Chelsea
Nott'ham Forest | 1.7914161310387728 - 0.6774478094678034 | Wolves
Nott'ham Forest | 1.4614184226895253 - 0.9032637459570715 | West Ham
Nott'ham Forest | 2.027128779859664 - 0.9597177300793883 | Bournemouth
Nott'ham Forest | 1.4142758929253472 - 1.0161717142017053 | Everton
Nott'ham Forest | 1.5694533867324338 - 0.82392255962364 | Luton Town
Nott'ham Forest | 1.5694533867324338 - 0.9884325562599234 | Burnley
Nott'ham Forest | 1.5694533867324338 - 0.82392255962364 | Sheffield Utd
Everton | 0.4469810229492453 - 2.159364892678624 | Manchester City
Everton | 0.5028536508179011 - 2.2228756248162305 | Arsenal
Everton | 0.9218983598328188 - 1.397236107027345 | Manchester Utd
Everton | 0.530789964752229 - 2.032343428403411 | Newcastle Utd
Everton | 0.8380894180298352 - 1.8418112319905913 | Liverpool
Everton | 0.8939620458984906 - 2.2228756248162305 | Brighton
Everton | 0.6984078483581961 - 1.1431931784769185 | Aston Villa
Everton | 1.061579929504458 - 2.0958541605410175 | Tottenham
Everton | 0.7822167901611794 - 1.4607468391649514 | Brentford
Everton | 0.6704715344238682 - 1.5242575713025581 | Fulham
Everton | 0.7263441622925239 - 1.2067039106145252 | Crystal Palace
Everton | 0.7822167901611794 - 1.1431931784769185 | Chelsea
Everton | 1.061579929504458 - 0.7621287856512791 | Wolves
Everton | 0.8660257319641631 - 1.0161717142017055 | West Ham
Everton | 1.201261499176097 - 1.079682446339312 | Bournemouth
Everton | 1.2291978131104249 - 0.6986180535136725 | Nott'ham Forest
Everton | 0.9300464513969976 - 0.9269128795765952 | Luton Town
Everton | 0.9300464513969976 - 1.111986625792414 | Burnley
Everton | 0.9300464513969976 - 0.9269128795765952 | Sheffield Utd
Luton Town | 0.4177647014721128 - 2.2793296089385473 | Manchester City
Luton Town | 0.46998528915612703 - 2.346368715083799 | Arsenal
Luton Town | 0.861639696786233 - 1.4748603351955307 | Manchester Utd
Luton Town | 0.496095582998134 - 2.1452513966480447 | Newcastle Utd
Luton Town | 0.7833088152602117 - 1.9441340782122907 | Liverpool
Luton Town | 0.8355294029442256 - 2.346368715083799 | Brighton
Luton Town | 0.6527573460501764 - 1.2067039106145252 | Aston Villa
Luton Town | 0.992191165996268 - 2.212290502793296 | Tottenham
Luton Town | 0.7310882275761974 - 1.541899441340782 | Brentford
Luton Town | 0.6266470522081693 - 1.6089385474860334 | Fulham
Luton Town | 0.6788676398921835 - 1.2737430167597763 | Crystal Palace
Luton Town | 0.7310882275761974 - 1.2067039106145252 | Chelsea
Luton Town | 0.992191165996268 - 0.8044692737430167 | Wolves
Luton Town | 0.8094191091022188 - 1.0726256983240223 | West Ham
Luton Town | 1.1227426352063032 - 1.1396648044692737 | Bournemouth
Luton Town | 1.1488529290483105 - 0.7374301675977654 | Nott'ham Forest
Luton Town | 0.7833088152602117 - 1.2067039106145252 | Everton
Luton Town | 0.8692551991568181 - 1.173763660558659 | Burnley
Luton Town | 0.8692551991568181 - 0.9784080395530725 | Sheffield Utd
Burnley | 0.6588348184597925 - 2.2793296089385473 | Manchester City
Burnley | 0.7411891707672668 - 2.346368715083799 | Arsenal
Burnley | 1.3588468130733224 - 1.4748603351955307 | Manchester Utd
Burnley | 0.7823663469210037 - 2.1452513966480447 | Newcastle Utd
Burnley | 1.2353152846121112 - 1.9441340782122907 | Liverpool
Burnley | 1.317669636919585 - 2.346368715083799 | Brighton
Burnley | 1.0294294038434262 - 1.2067039106145252 | Aston Villa
Burnley | 1.5647326938420074 - 2.212290502793296 | Tottenham
Burnley | 1.152960932304637 - 1.541899441340782 | Brentford
Burnley | 0.9882522276896889 - 1.6089385474860334 | Fulham
Burnley | 1.0706065799971631 - 1.2737430167597763 | Crystal Palace
Burnley | 1.152960932304637 - 1.2067039106145252 | Chelsea
Burnley | 1.5647326938420074 - 0.8044692737430167 | Wolves
Burnley | 1.276492460765848 - 1.0726256983240223 | West Ham
Burnley | 1.7706185746106928 - 1.1396648044692737 | Bournemouth
Burnley | 1.81179575076443 - 0.7374301675977654 | Nott'ham Forest
Burnley | 1.2353152846121112 - 1.2067039106145252 | Everton
Burnley | 1.3708568227848288 - 0.9784080395530725 | Luton Town
Burnley | 1.3708568227848288 - 0.9784080395530725 | Sheffield Utd
Sheffield Utd | 0.6320492499056058 - 2.2793296089385473 | Manchester City
Sheffield Utd | 0.7110554061438068 - 2.346368715083799 | Arsenal
Sheffield Utd | 1.3036015779303125 - 1.4748603351955307 | Manchester Utd
Sheffield Utd | 0.750558484262907 - 2.1452513966480447 | Newcastle Utd
Sheffield Utd | 1.1850923435730112 - 1.9441340782122907 | Liverpool
Sheffield Utd | 1.2640984998112117 - 2.346368715083799 | Brighton
Sheffield Utd | 0.9875769529775095 - 1.2067039106145252 | Aston Villa
Sheffield Utd | 1.501116968525814 - 2.212290502793296 | Tottenham
Sheffield Utd | 1.1060861873348105 - 1.541899441340782 | Brentford
Sheffield Utd | 0.948073874858409 - 1.6089385474860334 | Fulham
Sheffield Utd | 1.0270800310966097 - 1.2737430167597763 | Crystal Palace
Sheffield Utd | 1.1060861873348105 - 1.2067039106145252 | Chelsea
Sheffield Utd | 1.501116968525814 - 0.8044692737430167 | Wolves
Sheffield Utd | 1.2245954216921116 - 1.0726256983240223 | West Ham
Sheffield Utd | 1.6986323591213162 - 1.1396648044692737 | Bournemouth
Sheffield Utd | 1.7381354372404163 - 0.7374301675977654 | Nott'ham Forest
Sheffield Utd | 1.1850923435730112 - 1.2067039106145252 | Everton
Sheffield Utd | 1.3151233090483831 - 0.9784080395530725 | Luton Town
Sheffield Utd | 1.3151233090483831 - 1.173763660558659 | Burnley
